TeamID,TeamName,Player1,Player2,Discord1,Discord2
team1,Team 1,silentwl,V2x-uno,mhiiiooo,unozxzx
team2,Team 2,Aloe 1x,TT_Sincitypvnx,airxera,sincitypvnx
team3,Team 4,FNO Marce,DADDY CHILL KAMI,marce11088.,thebigkami
team4,Team 5,NF Daddy Compton,BogMommyDactyl,compton98,toridactylxo
team5,Team 6,ttssparxo,User-73b8b780fc,idisbelief,aon_grinchy_tt
team6,Team 7,Tiktok Peppa1x,blxtzfnttv,peppa1x,blxtzzb
team7,Team 8,NF_Drakovybe-tt,oma!shotguntt,drakowrld.,shotgun02
team8,Team 9,Tt bearonconsol,FTC ZORO,bear054126,bigboyisidro_02034
team9,Team 10,v2x aiden,v2x iaxyy,veronicaaa11,iaxyypro
team10,Team 11,,Mask VanishRM,qt_photixel,vanishrm2
team11,Team 12,KRAK3NNN-,Brentleyomg_ttv,q3vty,brentle999
team12,Team 13,XIV Ekitty Beast,tayisthebae37,.b3ast.,xivmstay
team13,Team 15,WL_antxfrene,Vmictorz,kev_2072912,victo_20721
team14,Team 16,NF_NightSniper,strikertoney04,nightsniper_fdm,strikertoney04
team15,Team 17,Wadey!,Poi juice tv,wadeyfn1,poi_juice_tv
team16,Team 18,no l3loom,Jkal3ttv,loganharp1.,jkal1777
team17,Team 19,z kxmm,liquindiwnl 6,kxmmskii,liquadora
team18,Team 20,Prg-ykethantt,,ykethan_,faithfv.
team19,Team 21,PrimeeSuspect,Zbvorzee,yfn_runnin,zbvorzee
team20,Team 22,StillOnPerkz,tt-Bruc30ndet,dontfwm00,bruce_67security
